backend,spec_index,kind,subject,seed,seconds,sprite_path,raw_unique_colors,raw_offpalette_pct,raw_orphan_color_pct,raw_grid_adherence,final_unique_colors,final_offpalette_pct,final_soft_alpha_pct,subject_coverage,sospechosa
sdxl-pixelart,0,character,dark medieval knight with great sword,1337,43.86,bench\out64\sdxl-pixelart\00_character_seed1337.png,39773,98.602,12.984,0.5,19,0.0,0.0,0.2839,0
sdxl-pixelart,0,character,dark medieval knight with great sword,20250,26.58,bench\out64\sdxl-pixelart\00_character_seed20250.png,33454,99.248,11.026,0.5,16,0.0,0.0,0.793,0
sdxl-pixelart,0,character,dark medieval knight with great sword,48611,26.48,bench\out64\sdxl-pixelart\00_character_seed48611.png,44805,96.683,24.921,0.5,19,0.0,0.0,0.2261,0
sdxl-pixelart,0,character,dark medieval knight with great sword,77003,25.44,bench\out64\sdxl-pixelart\00_character_seed77003.png,53626,97.824,25.233,0.5,21,0.0,0.0,0.2869,0
sdxl-pixelart,1,character,hooded plague doctor with lantern,1337,25.86,bench\out64\sdxl-pixelart\01_character_seed1337.png,53972,92.863,30.172,0.5,26,0.0,0.0,0.2942,0
sdxl-pixelart,1,character,hooded plague doctor with lantern,20250,25.52,bench\out64\sdxl-pixelart\01_character_seed20250.png,21251,98.981,8.863,0.5,13,0.0,0.0,0.8066,0
sdxl-pixelart,1,character,hooded plague doctor with lantern,48611,25.22,bench\out64\sdxl-pixelart\01_character_seed48611.png,40087,91.066,27.633,0.562,23,0.0,0.0,0.2847,0
sdxl-pixelart,1,character,hooded plague doctor with lantern,77003,25.42,bench\out64\sdxl-pixelart\01_character_seed77003.png,31747,97.682,25.322,0.5,17,0.0,0.0,0.2649,0
sdxl-pixelart,2,enemy,rotting skeleton warrior with rusted axe,1337,25.53,bench\out64\sdxl-pixelart\02_enemy_seed1337.png,63284,99.369,13.615,0.5,29,0.0,0.0,0.4077,0
sdxl-pixelart,2,enemy,rotting skeleton warrior with rusted axe,20250,25.53,bench\out64\sdxl-pixelart\02_enemy_seed20250.png,68460,97.245,17.311,0.5,16,0.0,0.0,0.7959,0
sdxl-pixelart,2,enemy,rotting skeleton warrior with rusted axe,48611,25.43,bench\out64\sdxl-pixelart\02_enemy_seed48611.png,80879,98.069,21.699,0.5,21,0.0,0.0,0.3193,0
sdxl-pixelart,2,enemy,rotting skeleton warrior with rusted axe,77003,25.61,bench\out64\sdxl-pixelart\02_enemy_seed77003.png,106824,99.504,26.422,0.5,25,0.0,0.0,0.2544,0
sdxl-pixelart,3,enemy,hulking stone gargoyle with spread wings,1337,25.43,bench\out64\sdxl-pixelart\03_enemy_seed1337.png,74084,97.413,27.962,0.5,16,0.0,0.0,0.3345,0
sdxl-pixelart,3,enemy,hulking stone gargoyle with spread wings,20250,26.18,bench\out64\sdxl-pixelart\03_enemy_seed20250.png,68549,95.885,33.869,0.5,22,0.0,0.0,0.8066,0
sdxl-pixelart,3,enemy,hulking stone gargoyle with spread wings,48611,26.21,bench\out64\sdxl-pixelart\03_enemy_seed48611.png,97329,97.615,33.641,0.5,19,0.0,0.0,0.363,0
sdxl-pixelart,3,enemy,hulking stone gargoyle with spread wings,77003,26.51,bench\out64\sdxl-pixelart\03_enemy_seed77003.png,73729,98.159,46.169,0.5,17,0.0,0.0,0.4189,0
sdxl-pixelart,4,item,vial of green poison,1337,28.31,bench\out64\sdxl-pixelart\04_item_seed1337.png,27232,99.9,4.021,0.438,28,0.0,0.0,0.3118,0
sdxl-pixelart,4,item,vial of green poison,20250,26.03,bench\out64\sdxl-pixelart\04_item_seed20250.png,49998,99.663,7.064,0.438,25,0.0,0.0,0.2878,0
sdxl-pixelart,4,item,vial of green poison,48611,24.96,bench\out64\sdxl-pixelart\04_item_seed48611.png,104537,18.495,21.504,0.5,19,0.0,0.0,0.2803,0
sdxl-pixelart,4,item,vial of green poison,77003,25.05,bench\out64\sdxl-pixelart\04_item_seed77003.png,57349,99.594,8.012,0.5,28,0.0,0.0,0.3013,0
sdxl-pixelart,5,item,ornate brass key with skull bow,1337,25.82,bench\out64\sdxl-pixelart\05_item_seed1337.png,46113,99.015,10.871,0.5,15,0.0,0.0,0.1567,0
sdxl-pixelart,5,item,ornate brass key with skull bow,20250,26.66,bench\out64\sdxl-pixelart\05_item_seed20250.png,56840,99.498,10.75,0.5,15,0.0,0.0,0.1416,0
