epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9671,1.50983,2.94461,1.17399,0.55414,0.5922,0.44527,0.24135,1.44456,2.12209,1.11273,0.000472583,0.000472583,0.000472583
2,58.0367,1.46634,2.12842,1.17238,0.59512,0.61394,0.588,0.30635,1.48594,1.74481,1.1724,0.000930127,0.000930127,0.000930127
3,85.4597,1.51779,1.92608,1.20027,0.70148,0.648,0.69332,0.37835,1.48462,1.41002,1.20462,0.00136881,0.00136881,0.00136881
4,112.237,1.50244,1.68803,1.20742,0.73658,0.64567,0.70609,0.39873,1.41912,1.32037,1.14916,0.00134412,0.00134412,0.00134412
5,138.215,1.49476,1.51748,1.19553,0.78044,0.71576,0.7511,0.41269,1.42234,1.10903,1.1625,0.00131582,0.00131582,0.00131582
6,164.71,1.48321,1.3641,1.21181,0.79858,0.71111,0.77376,0.43833,1.38881,1.1155,1.15102,0.00128753,0.00128753,0.00128753
7,190.979,1.44422,1.32102,1.15965,0.84052,0.73425,0.80286,0.46749,1.35736,1.0606,1.14125,0.00125923,0.00125923,0.00125923
8,219.986,1.44497,1.28256,1.1813,0.8352,0.75834,0.82312,0.48381,1.34054,1.03486,1.12153,0.00123094,0.00123094,0.00123094
9,244.476,1.42425,1.18507,1.16176,0.87191,0.75863,0.82758,0.49954,1.29043,0.92114,1.09336,0.00120265,0.00120265,0.00120265
10,268.755,1.36212,1.09804,1.12472,0.85149,0.78114,0.83478,0.5005,1.30136,0.9126,1.0823,0.00117435,0.00117435,0.00117435
11,294.625,1.35612,1.07154,1.11886,0.82549,0.79828,0.82321,0.50183,1.2494,0.95027,1.07,0.00114606,0.00114606,0.00114606
12,321.125,1.32614,1.0475,1.11661,0.85173,0.79287,0.84039,0.50763,1.29843,0.8629,1.06639,0.00111776,0.00111776,0.00111776
13,347.278,1.33062,1.02175,1.11097,0.86644,0.81678,0.85422,0.51024,1.29045,0.85934,1.07305,0.00108947,0.00108947,0.00108947
14,372.928,1.31952,0.99791,1.11058,0.88486,0.79156,0.85648,0.51963,1.27094,0.83041,1.07319,0.00106118,0.00106118,0.00106118
15,398.932,1.30959,1.00551,1.09734,0.86757,0.82028,0.86337,0.54116,1.23152,0.82213,1.05128,0.00103288,0.00103288,0.00103288
16,424.831,1.30953,0.95721,1.10881,0.88123,0.82226,0.87451,0.55406,1.19772,0.78457,1.03609,0.00100459,0.00100459,0.00100459
17,450.589,1.29247,0.93636,1.09694,0.88592,0.83889,0.88165,0.54458,1.22958,0.76405,1.04995,0.000976293,0.000976293,0.000976293
18,476.724,1.29799,0.93032,1.07557,0.8592,0.79347,0.85111,0.54054,1.18963,0.81278,1.02651,0.000947999,0.000947999,0.000947999
19,502.798,1.27981,0.92449,1.08924,0.89115,0.83054,0.87477,0.56535,1.17648,0.74655,1.02495,0.000919704,0.000919704,0.000919704
