Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:24w139jhWNnuQjnlhlzLvi,"Feo Fuerte y Formal","Feo, Fuerte y Formal","Loquillo Y Los Trogloditas",2001,242266,60,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:25:01Z,"","Blanco y Negro Music",0.716,0.879,5,-6.179,0,0.0349,0.0454,0,0.243,0.905,126.368,4
spotify:track:3Af6XfS90PAZaC4Q2AjPtg,"Uno más uno son 7","La Chica de la habitacion de al lado","Fran Perea",2003-10-20,180040,57,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:25:44Z,"","DRO/EastWest Spain",0.644,0.969,9,-1.423,1,0.0568,0.29,0,0.197,0.869,136.107,4
spotify:track:3F9ruNkd8fCJIy9Y8FPdPZ,"Alcohol, Alcohol, Alcohol","Los Hombres Que Amaban a Todas Las Mujeres","Los Inhumanos",2010-12-07,91401,0,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:25:58Z,"rock en español","Zero Records",0.445,0.883,7,-4.179,1,0.0537,0.0067,0.00000176,0.31,0.86,151.949,4
spotify:track:6qItZri8lMKeIbBUuSV3Ea,"Atrapados en la red","Miscelanea","Tam Tam Go!",2001,263800,46,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:28:17Z,"rock latino,rock en español","Parlophone Spain",0.753,0.749,9,-8.758,1,0.0419,0.152,0,0.121,0.948,135.785,4
spotify:track:3RDMd9JiKdVik8zjGhZ0wJ,"Veneno en la Piel","Caja de Canciones","Radio Futura",1984,225813,61,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:28:25Z,"rock en español","Ariola",0.67,0.858,2,-8.491,1,0.0261,0.0361,0.000108,0.0783,0.972,139.477,4
spotify:track:4Q2vhlUXoWWzZQeKn7OreC,"Y Viva España","La Copla, Vol.4","Manolo Escobar",1991-10-14,216466,0,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:32:14Z,"villancicos,flamenco","Divucsa",0.615,0.377,4,-12.019,1,0.0373,0.552,0,0.723,0.876,123.12,4
spotify:track:58JZ4RVYonCaKz7FVOqZPL,"Volvera (feat. Alejandro Sanz)","Radio la Colifata Presenta: El Canto del Loco","El Canto Del Loco;Alejandro Sanz",2009-11-24,180853,52,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:32:45Z,"pop latino","Columbia (BMG Spain)",0.715,0.706,6,-6.668,1,0.0253,0.35,0,0.25,0.833,118.01,4
spotify:track:5p6XlfhEp2EyjRkwSca8MK,"A-Ba-Ni-Bi","El Chaval De La Peca","El Chaval De La Peca",1998-08-10,172973,46,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:33:29Z,"","WM Spain",0.645,0.923,2,-5.019,1,0.0329,0.00361,0,0.0883,0.895,133.674,4
spotify:track:1aZc9YBrZpKCE1YqSMV5Vg,"Chica de ayer","Grandes Éxitos: Nacha Pop","Nacha Pop",2005-03-21,208026,52,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:33:43Z,"rock en español","Parlophone Spain",0.674,0.854,7,-4.337,1,0.034,0.0579,0.00041,0.0735,0.684,127.295,4
spotify:track:4zhr1tInyVKTMa3IIZUclg,"Apatrullando la Ciudad","Calle Calvario","El Fary",1998,191400,45,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:33:52Z,"flamenco,flamenco pop","Sony Music Entertainment",0.747,0.942,2,-4.585,1,0.12,0.565,0.000108,0.0269,0.733,109.981,4
spotify:track:4sNzFrLPMc88hdsl54qeuf,"¡¡¡Salta!!!","Clasicos del futuro","Seguridad Social",2009-08-25,151133,40,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:35:05Z,"rock en español","WM Spain",0.572,0.956,11,-5.943,0,0.0797,0.0125,0,0.247,0.75,172.264,4
spotify:track:6yVTl3yEdpwQmFT9PtBMc5,"Zapatillas","Radio la Colifata Presenta: El Canto del Loco","El Canto Del Loco",2009-11-24,166826,32,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:35:10Z,"","Columbia (BMG Spain)",0.448,0.797,8,-3.804,0,0.0847,0.00702,0,0.0719,0.933,197.933,4
spotify:track:6bMRELN9nclL87w9XEMMnw,"A la luz del Lorenzo","El Sentimiento Garrapatero Que Nos Traen Las Flores","Los Delinqüentes",2001,251720,62,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:35:49Z,"flamenco,flamenco pop","Parlophone Spain",0.669,0.666,9,-10.662,1,0.0434,0.107,0.00000223,0.267,0.893,100.01,4
spotify:track:4bavcis6bApsKI8YkKg3Cx,"20 de abril - En directo 1997","Nos Vemos En Los Bares","Celtas Cortos",1997,237346,53,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:39:34Z,"rock celta,celta","DRO/EastWest Spain",0.526,0.722,0,-12.057,1,0.0394,0.000925,0.0000124,0.821,0.468,112.961,4
spotify:track:5Ygg7k6y3QsXLdlDSMdHPF,"Chow Chow","Demasiao Perro Pa Trabaja. Demasiao Carvo Pal Rocanro","Mojinos Escozios",1999-01-01,223133,0,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:40:10Z,"","Universal Music Spain S.L.",0.755,0.67,2,-8.8,1,0.0456,0.0219,0.00000357,0.504,0.968,96.771,4
spotify:track:1eCie6lwjb4crxeAvkRaSi,"Y Nos Dieron las Diez","Fisica Y Quimica","Joaquín Sabina",1992-04-10,303973,65,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:40:18Z,"trova,cantautores,nueva trova","Ariola",0.555,0.275,0,-14.032,1,0.0653,0.759,0,0.104,0.592,163.431,3
spotify:track:6dC0U0ZJrmSw05sdnjDpGJ,"Enamorado de la moda juvenil","Musica Moderna","Radio Futura",1980,219706,56,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:40:33Z,"rock en español","Parlophone Spain",0.583,0.984,4,-2.397,1,0.119,0.0049,0,0.166,0.792,147.577,4
spotify:track:0D4Uf8cLzlWZnFDFV4EE7I,"El Toro Guapo","Menudo Es El Fary (New Recording)","El Fary",1996-12-02,216666,42,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:41:33Z,"flamenco,flamenco pop","Zafiro",0.648,0.774,2,-5.587,1,0.278,0.049,0,0.332,0.414,122.863,4
spotify:track:3k3vAuhPnU2Z8KLDvp0cjO,"King George","I Was Dead For 7 Weeks In The City Of Angels","Dover",2001-09-17,176160,51,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:42:47Z,"","Parlophone Spain",0.451,0.872,2,-5.723,1,0.0553,0.00143,0.00205,0.114,0.464,105.136,4
spotify:track:0M2tanh26PWePnaGVV3h3y,"Salta!!!","Confidencial/New Booklet","Tequila",1981-01-04,189133,55,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:44:40Z,"","Zafiro",0.474,0.935,2,-4.956,1,0.109,0.0218,0.0000161,0.044,0.915,151.705,4
spotify:track:5NV19rJlAYrAAFXQTZVC55,"Estrella Polar (with Juan Aguirre)","Aproximaciones","Pereza;Juan Aguirre",2007,211506,58,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:44:48Z,"","RCA Records Label",0.517,0.839,4,-3.957,1,0.0286,0.0296,0.000379,0.248,0.778,126.968,4
spotify:track:0Fy2FQixaKKwp86YfRPlNY,"Siempre Que Quiera","Vamos Que Nos Vamos","Muchachito Bombo Infierno",2006-03-28,234498,0,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:45:18Z,"flamenco,flamenco pop,música alternativa latina","El Orfanato Eléctrico",0.665,0.648,9,-7.829,0,0.132,0.304,0,0.0743,0.917,139.865,4
spotify:track:60HibhiSF8eBC2w4DWgorI,"Cadillac solitario","Heroes De Los 80","Loquillo",1989-02-22,214560,61,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:45:36Z,"","DRO/EastWest Spain",0.393,0.828,11,-4.147,0,0.0332,0.0746,0.00192,0.148,0.473,129.743,1
spotify:track:3LXFi1Xk9qJsYXYEjDcuVH,"19 Dias y 500 Noches - En Directo","Nos Sobran Los Motivos","Joaquín Sabina",2001,319053,54,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:49:26Z,"trova,cantautores,nueva trova","Ariola",0.572,0.899,4,-6.485,1,0.58,0.52,0,0.692,0.552,86.472,4
spotify:track:2V6hx8pGWaKzryH03NuBoj,"Comerranas - En Directo","De Amor","Seguridad Social",1994-06-12,164613,45,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:49:30Z,"rock en español","DRO/EastWest Spain",0.408,0.923,2,-5.98,1,0.113,0.00391,0.00123,0.498,0.279,180.435,4
spotify:track:0lTKqVmGitaJGRf1DzhaFV,"La Niña Que Llora en Tus Fiestas","Cometas Por El Cielo","La Oreja de Van Gogh",2011-09-13,161080,59,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:49:35Z,"pop latino","Columbia",0.602,0.65,6,-6.795,0,0.0466,0.000327,0.00000881,0.617,0.558,135.982,4
spotify:track:2fS14uyyUM7jVBXxDlMNJ0,"Dame Veneno","Cara A Cara","Los Chunguitos",1991,216533,55,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:49:46Z,"flamenco,villancicos,flamenco pop","Parlophone Spain",0.521,0.469,10,-14.998,1,0.0691,0.571,0.39,0.181,0.789,174.786,4
spotify:track:0vhSjNUzGyB6JPjZpGOMxR,"Nada de na","La taberna del Buda","Café Quijano",2001-05-25,219693,54,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:51:04Z,"bolero,rock en español","WM Spain",0.674,0.939,6,-3.009,0,0.0309,0.196,0.0000132,0.107,0.9,146.089,4
spotify:track:0uFWKpWbWTpttXBUB6UG3U,"Una Rosa Es una Rosa","Aidalai","Mecano",1991,286760,0,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:51:10Z,"rock en español,pop latino","Ariola",0.774,0.817,10,-8.818,0,0.0471,0.729,0,0.0635,0.845,116.013,4
spotify:track:5fCYRuYxc1ox7yWKcKD6tf,"Rock And Roll en la Plaza del Pueblo","Matricula De Honor/New Booklet","Tequila",1978-01-04,180266,45,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:51:58Z,"","Zafiro",0.423,0.909,7,-2.438,1,0.0801,0.00451,0.0000171,0.279,0.65,151.643,4
spotify:track:3f2k0XTc2ZXG17jEMDu8pp,"Quiero tener tu presencia","Furia Latina","Seguridad Social",1993,220626,65,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:57:43Z,"rock en español","DRO/EastWest Spain",0.741,0.816,4,-5.597,1,0.0797,0.0211,0,0.0981,0.574,146.075,4
spotify:track:4KOIPoWgg56YkP12E1aFoQ,"Mari Carmen","Xapomelön","La Pegatina",2011-07-10,145506,19,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:57:57Z,"","WM Spain",0.708,0.847,2,-5.723,0,0.0894,0.0935,0.00000202,0.0406,0.82,160.037,4
spotify:track:7ue44k70ZcYBw7a6tZKu9K,"Que La Detengan - Remix","En Cuerpo Y Alma","David Civera",2002-01-01,267573,39,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:58:38Z,"","Universal Music Spain S.L.",0.713,0.957,2,-5.451,1,0.0814,0.0997,0.0066,0.368,0.865,126.978,4
spotify:track:3JhllUTyXy2ceSTzNSErBC,"Días de verano","Pájaros En La Cabeza","Amaral",2005-03-11,208240,60,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:59:36Z,"","Parlophone Spain",0.487,0.842,6,-2.509,0,0.0332,0.418,0.00000228,0.101,0.425,139.781,4
spotify:track:2slcgayTIWrnTPfbsIPTAW,"Las niñas de La Saye","Semos unos monstruos","Mojinos Escozios",2004-08-30,183813,45,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T16:59:51Z,"","DRO/EastWest Spain",0.719,0.898,9,-3.114,1,0.0358,0.183,0,0.2,0.974,139.983,4
spotify:track:1pX5XE5hajZQ4lB6HuMVKa,"Felicidad","Vestidos De Domingo (+ Remixes)","La Cabra Mecanica",2001-06-15,254653,59,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T17:01:21Z,"flamenco,flamenco pop","DRO/EastWest Spain",0.669,0.914,7,-3.314,1,0.184,0.136,0,0.169,0.919,102.002,4
spotify:track:1N1QL28bnJWt7u0dbJHyR0,"Escuela de Calor","Caja de Canciones","Radio Futura",1984,210893,51,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T17:09:55Z,"rock en español","Ariola",0.695,0.915,2,-5.745,1,0.0335,0.104,0.022,0.0359,0.954,122.038,4
spotify:track:0FJBWXOa9tYcJCxv1YxP9H,"En Blanco Y Negro","Los Singles","Barricada",1995,245533,47,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T17:10:05Z,"","Universal Music Spain, S.L.",0.537,0.971,2,-4.72,1,0.058,0.0186,0.0507,0.186,0.28,74.969,4
spotify:track:6YksxWWmhFOZjMfh3eRyYk,"Volando Voy","Flamenco es... Camaron","Camaron De La Isla",2010-01-01,204346,0,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T17:10:11Z,"flamenco,flamenco pop","Universal Music Spain S.L.",0.578,0.691,9,-8.995,1,0.0359,0.714,0.00473,0.127,0.962,127.692,4
spotify:track:5NQw5WJwKRPaaSDHXD04Fs,"Lady Madrid","Aviones","Pereza",2009-08-25,191586,62,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T17:13:41Z,"","RCA Records Label",0.598,0.655,0,-2.761,1,0.0256,0.359,0,0.0922,0.377,115.041,4
spotify:track:0aIO4vndXigQGEo3hbIkhq,"Me Duele La Cara De Ser Tan Guapo","30 Hombres Solos","Los Inhumanos",1988-08-01,231013,51,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T17:13:53Z,"rock en español","Zafiro",0.643,0.906,7,-9.439,1,0.0833,0.323,0.00000516,0.163,0.792,196.289,4
spotify:track:6D3YqQ9dUA9LBOLw4CEUj1,"El Toro Guapo","Como un Gigante","El Fary",1984,205653,50,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T17:17:41Z,"flamenco,flamenco pop","Legacy Recordings",0.61,0.751,7,-5.549,1,0.0735,0.556,0,0.0939,0.556,124.737,4
spotify:track:2IofpcCv3PjgZ5AjX446fi,"Dime Que Me Quieres","Viva Tequila/New Booklet","Tequila",1980-01-04,180800,51,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T17:18:31Z,"","Zafiro",0.357,0.978,1,-3.552,0,0.0612,0.0276,0.00000151,0.741,0.939,181.955,4
spotify:track:5UOzQpO62ljPFDqquxGDqT,"Como El Agua - Tangos","Como El Agua (Remastered)","Camaron De La Isla;Paco de Lucía;Tomatito",2005-01-01,221080,51,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T17:18:45Z,"flamenco,flamenco pop,jazz latino","Universal Music Spain S.L.",0.467,0.736,2,-8.612,1,0.131,0.826,0.000155,0.168,0.77,161.653,4
spotify:track:4MXMBfAnTSGwiGvs61l2tg,"1+1 Son 7","10 Años de Musica en la Tele (Vol. 1)","Fran Perea",2012-11-20,178253,0,false,azvwtt6iohg3hran3hxv47xn6,2020-04-23T17:18:51Z,"","Globomedia Musica distributed by Altafonte",0.687,0.906,9,-4.794,1,0.0459,0.201,0,0.204,0.856,136.14,4
