Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:61NcooPUwSPSwSyzF8UfYv,"Erika","Chants traditionnels des soldats allemands - Traditional German Soldiers' Songs","Varios Artistas",2010-06-15,197825,50,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:38:09Z,"","Isis",0.581,0.341,0,-19.044,0,0.0326,0.993,0.814,0.217,0.346,113.867,4
spotify:track:5DSx3g2K4RaKwkJYWDlmpE,"Panzerlied","The Battle of the Bulge","Queensland Symphony Orchestra;Werner Andreas Albert",2000-07-13,150000,0,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:38:34Z,"ballet,orquestal,clásica","CPO",0.546,0.646,10,-12.486,1,0.0395,0.824,0.144,0.328,0.438,120.181,4
spotify:track:0toF6vZjONW8ge8c4qPCZg,"Prussia’s Glory - The Glory Of Prussia - Preussens Gloria","Grand Tatoo . Military Marches - Marches Militaires","Mountain Division Light Infantry",2012-02-03,158146,42,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:38:42Z,"","Macassar Records",0.698,0.704,1,-7.495,1,0.0401,0.782,0.938,0.0637,0.658,108.265,4
spotify:track:2pJRYCb9haWfsGVogRRSzw,"Königgrätzer Marsch","Die schönsten Märsche, vol. 6","Das Luftwaffen-Musikkorps Nr.3",2007-01-11,146133,28,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:38:47Z,"","Membran",0.632,0.578,8,-11.564,1,0.127,0.757,0.0571,0.422,0.443,107.166,4
spotify:track:1SKhRtUXKNSxrNiayhxnKm,"Mister Nasty","Roads to War (1933-1945) Part 1","Keith Nichols",1999-07-22,165333,4,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"ragtime","KPM Main Series",0.873,0.454,0,-13.011,1,0.0565,0.434,0.000179,0.126,0.921,129.728,4
spotify:track:1rEPEpIiCOmLjKPYlErEdR,"Mein Mann","Roads to War (1933-1945) Part 1","Matthias Seuffert",1999-07-22,187586,3,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"","KPM Main Series",0.494,0.179,3,-13.817,1,0.0292,0.912,0.0045,0.223,0.267,100.042,3
spotify:track:5a6H7BH18lo0g4lXlWX8TX,"Soldier Boy","Roads to War (1933-1945) Part 1","Keith Nichols",1999-07-22,181866,5,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"ragtime","KPM Main Series",0.307,0.193,0,-11.846,1,0.0321,0.92,0.00158,0.102,0.272,188.771,4
spotify:track:1zRARuFj3gWdi7TG0TzYh8,"Eine Dicke Zigarre","Roads to War (1933-1945) Part 1","Matthias Seuffert",1999-07-22,167760,5,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"","KPM Main Series",0.86,0.423,10,-11.798,1,0.0522,0.63,0.044,0.0334,0.966,113.966,4
spotify:track:1YEUEogssRlZbBWUc09Kb9,"Put That Light Out!","Roads to War (1933-1945) Part 1","Keith Nichols",1999-07-22,153373,4,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"ragtime","KPM Main Series",0.894,0.492,7,-10.959,1,0.0665,0.656,0.0000355,0.0507,0.962,120.135,4
spotify:track:6Egk5SNHSEKYBMMcvIkFLE,"Ich Liebe Das Leben","Roads to War (1933-1945) Part 1","Matthias Seuffert",1999-07-22,135400,4,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"","KPM Main Series",0.727,0.252,0,-11.837,1,0.0621,0.768,0.0000143,0.0605,0.861,151.935,4
spotify:track:7zG5wnyVvVNWFetZkYj0l2,"Sonnenschein","Roads to War (1933-1945) Part 1","Matthias Seuffert",1999-07-22,151666,3,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"","KPM Main Series",0.64,0.196,2,-12.374,1,0.0361,0.742,0.0000589,0.231,0.713,125.96,4
spotify:track:3CWUbvDwv7u08TGrokbP0v,"Margarethe","Roads to War (1933-1945) Part 1","Matthias Seuffert",1999-07-22,142306,2,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"","KPM Main Series",0.919,0.447,0,-12.074,1,0.05,0.615,0.498,0.0875,0.81,122.273,4
spotify:track:4kqiUALC8HIMKOGEE3yhCP,"Bully Beef","Roads to War (1933-1945) Part 1","Keith Nichols",1999-07-22,116173,1,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"ragtime","KPM Main Series",0.873,0.441,7,-15.599,0,0.166,0.42,0.0000682,0.0645,0.809,125.818,4
spotify:track:0GPFQgi5QunZhtqoEX1rvv,"Whistle as You March","Roads to War (1933-1945) Part 1","Keith Nichols",1999-07-22,87760,2,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"ragtime","KPM Main Series",0.928,0.462,2,-16.342,0,0.0858,0.441,0.562,0.0647,0.962,125.685,4
spotify:track:6XRhI0X6vP1nr0B1xspepP,"Nightclub Swing","Roads to War (1933-1945) Part 1","Keith Nichols",1999-07-22,191973,15,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"ragtime","KPM Main Series",0.592,0.405,7,-12.06,0,0.189,0.676,0.49,0.0654,0.908,204.174,4
spotify:track:1rzfl03aynQFwxHIbzCrVY,"Swing Kings","Roads to War (1933-1945) Part 1","Keith Nichols;Matthias Seuffert",1999-07-22,144680,14,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"ragtime","KPM Main Series",0.764,0.486,7,-10.672,0,0.0335,0.329,0.63,0.189,0.971,106.987,4
spotify:track:5e9OGfVRReDXAzNI3wiUsW,"Time to Quickstep","Roads to War (1933-1945) Part 1","Keith Nichols",1999-07-22,155773,12,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"ragtime","KPM Main Series",0.768,0.226,7,-16.738,1,0.0343,0.639,0.0444,0.0993,0.887,107.155,4
spotify:track:7MPKXzaGin9VZSTRslJ6Ye,"Theatre of Varieties","Roads to War (1933-1945) Part 1","Keith Nichols",1999-07-22,162800,3,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"ragtime","KPM Main Series",0.853,0.403,7,-14.801,1,0.0489,0.269,0.917,0.0998,0.971,129.81,4
spotify:track:6T18kFJZhQIHBq4B2vP0eb,"Berlin Cabaret","Roads to War (1933-1945) Part 1","Matthias Seuffert",1999-07-22,187453,5,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"","KPM Main Series",0.487,0.108,3,-17.426,1,0.0304,0.891,0.368,0.203,0.196,100.09,3
spotify:track:4jZKhDLYUwEZi5yb2JUZ28,"Starlight Ballroom","Roads to War (1933-1945) Part 1","Keith Nichols",1999-07-22,182800,5,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"ragtime","KPM Main Series",0.5,0.234,2,-11.523,0,0.0266,0.878,0.629,0.132,0.233,94.895,4
spotify:track:4PGYtzUDXVoLLe55A3HJ9O,"Music with a Swing","Roads to War (1933-1945) Part 1","Matthias Seuffert",1999-07-22,167546,5,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"","KPM Main Series",0.895,0.426,10,-12.161,1,0.0487,0.606,0.691,0.0327,0.972,113.977,4
spotify:track:5hyF74z6ALST9O33DE1ZrB,"Variety Showtime","Roads to War (1933-1945) Part 1","Keith Nichols",1999-07-22,153333,4,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"ragtime","KPM Main Series",0.944,0.477,7,-12.246,1,0.0686,0.389,0.925,0.058,0.982,119.977,4
spotify:track:7sVtfkKxN0R6bIsMCHhu24,"Café Musik","Roads to War (1933-1945) Part 1","Matthias Seuffert",1999-07-22,134400,7,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"","KPM Main Series",0.741,0.18,0,-12.609,1,0.0411,0.812,0.0038,0.0618,0.877,151.805,4
spotify:track:0krVd2DkXSnUx07bs6XNjh,"Old Vienna","Roads to War (1933-1945) Part 1","Matthias Seuffert",1999-07-22,152333,3,false,azvwtt6iohg3hran3hxv47xn6,2026-02-14T07:39:01Z,"","KPM Main Series",0.671,0.186,2,-12.484,1,0.0348,0.753,0.000806,0.237,0.726,125.917,4
