Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0TW184S02yFqj0A5BwAQQB,"Vertigo","Vertigo","Roberto Capuano",2013-04-01,436495,0,false,azvwtt6iohg3hran3hxv47xn6,2021-12-10T19:42:01Z,"techno,minimal techno","Drumcode",0.631,0.719,8,-6.64,0,0.0549,0.000905,0.921,0.111,0.145,128.008,4
spotify:track:0G5N8DyVtVAV8tmiUkfH3j,"Horny - Mousse T.'s Extended Mix","Horny","Mousse T.;Hot 'N' Juicy",1998-01-01,374266,0,false,azvwtt6iohg3hran3hxv47xn6,2021-10-08T16:17:51Z,"","Peppermint Jam",0.739,0.897,11,-6.138,0,0.0512,0.000167,0.396,0.0665,0.634,122.861,4
spotify:track:4oiJY7sUeg0TTjgLkWPFIq,"The Bomb! (These Sounds Fall Into My Mind) - Radio Edit","The Bomb! (These Sounds Fall Into My Mind)","The Bucketheads",1994,204213,0,false,azvwtt6iohg3hran3hxv47xn6,2021-09-18T01:01:43Z,"","Central Station Records",0.769,0.904,9,-2.412,0,0.0384,0.000738,0.568,0.0899,0.873,125.9,4
spotify:track:3OmIL39latV0jEW8E68aoG,"Anthem","Masters Series - 90's House Party","N Joi",2009-12-18,243973,33,false,azvwtt6iohg3hran3hxv47xn6,2021-09-18T01:03:11Z,"acid house","Sony Music Entertainment",0.678,0.726,0,-14.738,1,0.0355,0.0238,0.124,0.0984,0.715,124.977,4
spotify:track:7p6oXzBSPAXXz8Xb8gBPki,"Subzero - Original Mix","Before One EP","Ben Klock",2009-01-26,383972,48,false,azvwtt6iohg3hran3hxv47xn6,2021-12-03T19:31:07Z,"techno,minimal techno,dub techno","Ostgut Ton",0.793,0.608,6,-11.638,0,0.0673,0.588,0.861,0.0991,0.118,124.988,4
spotify:track:2EfhczOa9X8ju9hg5IWEQD,"Lay It On Me","Lay It On Me","Low Steppa;Guy Burns",2021-03-19,170258,32,false,azvwtt6iohg3hran3hxv47xn6,2021-11-25T21:51:05Z,"house,tech house","Armada Subjekt",0.696,0.976,5,-5.31,0,0.0443,0.000974,0.0882,0.197,0.238,124.013,4
spotify:track:0trsxXRv9qzlTu9qaHxKFv,"Love In Motion","Love In Motion","Cavi;Emzy",2021-05-21,204804,18,false,azvwtt6iohg3hran3hxv47xn6,2021-11-25T21:58:05Z,"disco house,funky house","It's Great!",0.785,0.933,7,-3.326,1,0.208,0.138,0.0000285,0.362,0.554,125.036,4
spotify:track:1YKp8PG1DEQJ0hLc2CJGO8,"You Give Me A Feeling","You Give Me A Feeling","Vintage Culture;James Hype",2021-11-12,185896,2,false,azvwtt6iohg3hran3hxv47xn6,2021-11-23T21:24:21Z,"graves brasileños,electrónica,electro,house,tech house","Insomniac Records",0.761,0.867,2,-6.168,1,0.0499,0.259,0.615,0.0689,0.679,126.03,4
spotify:track:3wGCJz3Ay0tLt3JdkjVzmB,"Push Pull","Push Pull","OFFAIAH",2018-11-09,193095,0,false,azvwtt6iohg3hran3hxv47xn6,2021-11-25T21:53:25Z,"tech house","Defected Records",0.82,0.745,9,-4.921,1,0.0717,0.034,0.317,0.291,0.579,124.992,4
spotify:track:66X03EIfE1zm99rd4SfL71,"100% Pure Love","Storyteller","Crystal Waters",1994-05-17,280466,63,false,azvwtt6iohg3hran3hxv47xn6,2021-09-18T01:01:05Z,"","Mercury Records",0.811,0.697,8,-8.019,1,0.0502,0.0923,0.0144,0.0784,0.712,120.242,4
spotify:track:0bGH7ezs7WdDwpqnsvGf1z,"Purple Hat","Purple Hat","SOFI TUKKER",2019-09-06,178369,6,false,azvwtt6iohg3hran3hxv47xn6,2021-11-25T23:29:42Z,"","Ultra Records",0.777,0.744,9,-7.42,1,0.204,0.331,0.0073,0.088,0.654,94.019,4
spotify:track:27bwVnOWhai58vWTtClciY,"Feel Good","Feel Good","Norman Doray;Cavi;Emzy",2021-02-25,243946,0,false,azvwtt6iohg3hran3hxv47xn6,2021-11-25T21:58:16Z,"disco house,funky house","Too Many Rules",0.647,0.944,5,-3.457,1,0.101,0.00234,0.103,0.0342,0.594,126.988,4
spotify:track:7FuOr01j61l7nBgENXfOIX,"The Chant","The Chant","Todd Edwards",2021-03-19,186774,39,false,azvwtt6iohg3hran3hxv47xn6,2021-09-17T23:04:06Z,"uk garage","Undisputed Music",0.808,0.695,5,-9.711,0,0.0391,0.00881,0.0664,0.0396,0.895,125.008,4
spotify:track:59ujQJCSRNgLtKQ1ly3b7c,"Wait A Minute","Wait A Minute","Biscits",2021-10-15,215000,45,false,azvwtt6iohg3hran3hxv47xn6,2021-11-23T21:23:20Z,"tech house,house","Solotoko",0.861,0.998,10,-6.256,0,0.202,0.0496,0.0581,0.0342,0.0629,125.983,4
spotify:track:6SoGQrTkJ8YyC5UBeahOJh,"The Hymn","The Hymn","Will Clarke",2021-08-06,200750,39,false,azvwtt6iohg3hran3hxv47xn6,2021-11-23T21:25:23Z,"tech house,techno","Good Company",0.732,0.787,5,-6.674,0,0.0441,0.0136,0.172,0.442,0.28,127.01,4
spotify:track:5WoBAyXaOnKEfvsZocrPeT,"My Humps","My Humps","Joshwa;Lee Foss",2021-10-29,186046,1,false,azvwtt6iohg3hran3hxv47xn6,2021-11-23T21:22:38Z,"tech house,house,house latino","Repopulate Mars",0.842,0.673,9,-6.068,1,0.068,0.0307,0.0197,0.058,0.354,128.99,4
spotify:track:4kdnniHBTCnzaYXrnsweSf,"Poison","Lekker Setje Beats","Klaus Veen",2020-07-09,191772,2,false,azvwtt6iohg3hran3hxv47xn6,2021-10-01T22:53:42Z,"rally house,house","Klaus Veen Records",0.826,0.925,1,-6.441,1,0.254,0.0428,0.00621,0.0689,0.726,126.505,4
spotify:track:20on25jryn53hWghthWWW3,"Do It To It","Do It To It","ACRAZE;Cherish",2021-08-20,157890,22,false,azvwtt6iohg3hran3hxv47xn6,2021-09-18T06:59:00Z,"tech house","Thrive Music, LLC",0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,4
spotify:track:5sCZrNlR663RubGRXbZVJ8,"I Don't Know (feat. Jennifer Jamieson)","I Don't Know (feat. Jennifer Jamieson)","Hannah Wants;Jess Bays;Jennifer Jamieson",2021-07-30,172800,34,false,azvwtt6iohg3hran3hxv47xn6,2021-11-25T21:50:55Z,"house","Stress Records",0.803,0.832,10,-8.603,0,0.0588,0.000725,0.0951,0.0925,0.415,125,4
spotify:track:7elX5HalbHX0ce1dql4ckd,"F The Disco","Our Beats","Cavi",2020-01-24,284506,56,false,azvwtt6iohg3hran3hxv47xn6,2021-10-08T14:09:05Z,"disco house,funky house","Too Many Rules",0.734,0.776,5,-7.717,0,0.0992,0.00894,0.738,0.0916,0.793,124.018,4
spotify:track:22eUyC9vOG2aoP5yHX8VxV,"Deep Inside","Deep Inside (2009 Mixes)","Hardrive",2009,390560,0,false,azvwtt6iohg3hran3hxv47xn6,2021-09-18T01:01:34Z,"house de chicago,house,voguing","Strictly Rhythm Records",0.784,0.855,11,-7.425,0,0.0678,0.00842,0.00223,0.148,0.805,123.671,4
spotify:track:5jbz9ONajDOe1AW5c3ob5U,"Down Low","Down Low","Dombresky;Donnie Sloan;Ricky Ducati",2021-01-15,161048,49,false,azvwtt6iohg3hran3hxv47xn6,2021-11-24T21:36:32Z,"bass house,tech house,disco house,g-house,house","Armada Subjekt",0.675,0.805,4,-6.55,0,0.0346,0.0765,0.000974,0.182,0.762,122.017,4
spotify:track:4oK68YNIvg4J4lBvcwak6h,"Bosana","Bosana","El Mukuka;Gaz Mawete;HVMZA",2021-07-02,211073,25,false,azvwtt6iohg3hran3hxv47xn6,2021-09-20T02:58:30Z,"afro tech,afro house,3 step,house latino,tribal house,ndombolo,rumba congoleña,coupé décalé,gnawa","TONSPIEL Recordings",0.675,0.639,7,-8.781,1,0.0393,0.0061,0.333,0.368,0.393,120.989,4
spotify:track:5PZI5xTcMq8FsCcEroth7S,"Boneless","Boneless (Remixes)","Steve Aoki;Chris Lake;Tujamo",2013-09-10,270000,1,false,azvwtt6iohg3hran3hxv47xn6,2021-11-25T19:48:09Z,"electro house,edm,tech house,house,bass house","Ultra Records",0.743,0.962,11,-3.205,0,0.0628,0.00431,0.645,0.351,0.646,127.995,4
